,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,si_sdr_speaker0,si_sdr_spkeaker1
160,160,0.27,3.6,7.989832878112793,6.306276321411133,-1.6835565567016602,-1.6077980995178223,-1.759315013885498,6.125664710998535,6.486888408660889
161,161,0.29,8.87,-2.524188280105591,-2.945512294769287,-0.42132410407066345,-0.4412200450897217,-0.4014281630516052,-3.618894577026367,-2.272130250930786
162,162,0.41,5.01,10.222247123718262,8.96334457397461,-1.2589027881622314,-1.2624833583831787,-1.2553220987319946,8.620284080505371,9.306406021118164
163,163,0.51,6.46,8.914746284484863,8.059989929199219,-0.8547567129135132,-0.9425694942474365,-0.7669439315795898,8.458742141723633,7.661237716674805
164,164,0.21,9.43,15.223544120788574,14.783428192138672,-0.4401162266731262,-0.41801902651786804,-0.462213397026062,15.366872787475586,14.199982643127441
165,165,0.22,4.78,10.121747016906738,8.896305084228516,-1.2254419326782227,-1.1845247745513916,-1.2663592100143433,8.92253303527832,8.870076179504395
166,166,0.29,14.74,10.093234062194824,9.95772933959961,-0.13550467789173126,-0.1351095587015152,-0.13589979708194733,9.870810508728027,10.044647216796875
167,167,0.48,7.7,8.824470520019531,8.233220100402832,-0.5912502408027649,-0.6240652203559875,-0.5584352612495422,7.801585674285889,8.664854049682617
168,168,0.56,5.18,1.0028890371322632,-0.061940841376781464,-1.0648298263549805,-1.0504595041275024,-1.0792001485824585,0.030829740688204765,-0.15471142530441284
169,169,0.53,4.5,8.366869926452637,7.011191368103027,-1.3556782007217407,-1.3504548072814941,-1.3609015941619873,7.126723289489746,6.895659446716309
170,170,0.4,5.68,5.519717216491699,4.544582366943359,-0.975135087966919,-0.9936311841011047,-0.9566390514373779,4.573424816131592,4.515740394592285
171,171,0.34,14.94,9.232121467590332,9.03811264038086,-0.1940087229013443,-0.19021032750606537,-0.19780711829662323,9.16110610961914,8.915120124816895
172,172,0.33,10.98,10.458358764648438,10.182367324829102,-0.2759910225868225,-0.27031487226486206,-0.28166720271110535,10.339828491210938,10.024906158447266
173,173,0.43,12.28,8.088486671447754,7.8343706130981445,-0.25411587953567505,-0.23794224858283997,-0.27028951048851013,7.8846116065979,7.7841291427612305
174,174,0.53,12.78,7.9284234046936035,7.68769645690918,-0.24072711169719696,-0.2526622414588928,-0.2287919819355011,7.629675388336182,7.7457170486450195
175,175,0.48,1.78,10.63891887664795,8.40206527709961,-2.23685359954834,-2.263484477996826,-2.2102229595184326,8.76315689086914,8.040973663330078
176,176,0.41,1.65,9.129095077514648,6.743047714233398,-2.386046886444092,-2.43230938911438,-2.339784622192383,6.532766819000244,6.9533281326293945
177,177,0.48,2.23,7.86130428314209,5.772247791290283,-2.0890564918518066,-2.105733871459961,-2.0723788738250732,6.285465240478516,5.259030342102051
178,178,0.46,3.75,7.50919246673584,5.951076507568359,-1.5581159591674805,-1.540076494216919,-1.576155424118042,6.538722515106201,5.363430976867676
179,179,0.4,11.9,12.633938789367676,12.397680282592773,-0.23625816404819489,-0.21374651789665222,-0.25876981019973755,11.781566619873047,13.0137939453125
180,180,0.58,1.68,5.201047897338867,2.9228038787841797,-2.2782437801361084,-2.1954755783081055,-2.3610119819641113,2.552083730697632,3.2935237884521484
