,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,complement_si_sdr_speaker0,complement_si_sdr_speaker1,si_sdr_speaker0,si_sdr_speaker1
3272,3272,0.6,8.61,11.834720611572266,10.49542236328125,-1.3392984867095947,2.9867501258850098,-5.665347099304199,13.736395835876465,7.106201171875,12.510041236877441,8.480804443359375
3273,3273,0.35,4.61,5.850171089172363,3.208113670349121,-2.642057418823242,0.9787662029266357,-6.262881278991699,7.191951751708984,-0.07592351734638214,5.564622402191162,0.8516051769256592
3274,3274,0.24,4.63,8.945030212402344,5.04371452331543,-3.901315212249756,-10.799602508544922,2.996971845626831,-1.6299844980239868,12.258442878723145,0.08757735788822174,9.99985122680664
3275,3275,0.29,13.42,8.361337661743164,7.728464126586914,-0.6328739523887634,-2.2788779735565186,1.0131300687789917,7.326912879943848,8.23586368560791,6.1946916580200195,9.262236595153809
3276,3276,0.43,5.51,7.110940933227539,4.169925212860107,-2.9410157203674316,2.969454765319824,-8.851486206054688,10.109467506408691,-1.7697761058807373,8.298824310302734,0.04102591052651405
3277,3277,0.49,5.99,10.428775787353516,8.382563591003418,-2.0462121963500977,1.403807520866394,-5.496232032775879,11.202268600463867,5.823431491851807,10.417631149291992,6.347496032714844
3278,3278,0.45,1.59,6.038857460021973,2.210498332977295,-3.8283591270446777,-3.9110002517700195,-3.745718240737915,2.6134767532348633,3.5332980155944824,2.539210557937622,1.8817859888076782
3279,3279,0.46,12.49,9.516256332397461,8.868528366088867,-0.6477282047271729,3.622951030731201,-4.918407440185547,11.604963302612305,5.821629524230957,11.153791427612305,6.58326530456543
3280,3280,0.52,13.18,7.577046871185303,7.227272987365723,-0.3497737646102905,1.3628485202789307,-2.0623960494995117,7.648505210876465,5.742283344268799,8.425488471984863,6.029057025909424
3281,3281,0.49,8.72,-2.3215651512145996,-3.369666814804077,-1.048101782798767,-3.65934157371521,1.5631380081176758,-4.664798736572266,0.32569512724876404,-6.293528079986572,-0.4458054304122925
3282,3282,0.2,3.93,9.2940092086792,6.645258903503418,-2.6487505435943604,-0.3826526403427124,-4.914848327636719,8.969124794006348,5.014132976531982,7.977818489074707,5.312699317932129
3283,3283,0.22,14.75,10.985588073730469,10.414295196533203,-0.5712926387786865,-6.55954647064209,5.416961193084717,6.227023601531982,13.713068962097168,7.288963317871094,13.539627075195312
3284,3284,0.25,2.54,5.791410446166992,1.7800593376159668,-4.011351108551025,-8.276994705200195,0.25429245829582214,-1.3861734867095947,7.009963512420654,-1.6867612600326538,5.246880054473877
3285,3285,0.45,1.18,7.232041358947754,3.2367186546325684,-3.9953229427337646,-4.718832492828369,-3.27181339263916,3.187807083129883,4.901358604431152,2.581186056137085,3.8922510147094727
3286,3286,0.52,2.19,12.48563003540039,8.714072227478027,-3.771557331085205,-6.489279270172119,-1.0538356304168701,6.305904865264893,11.048746109008789,6.866902828216553,10.561241149902344
3287,3287,0.26,1.93,3.1946399211883545,-0.26842188835144043,-3.463061809539795,-3.0981061458587646,-3.828017234802246,1.2943389415740967,0.28911399841308594,0.6711790561676025,-1.2080228328704834
3288,3288,0.41,6.69,8.822307586669922,6.0306315422058105,-2.7916762828826904,-10.18484115600586,4.6014885902404785,-0.2784304916858673,13.011049270629883,1.9884777069091797,10.072785377502441
3289,3289,0.58,0.83,8.536882400512695,4.239850044250488,-4.297032356262207,-3.6649599075317383,-4.929105281829834,6.125010967254639,3.5695695877075195,3.7929177284240723,4.686781883239746
3290,3290,0.37,7.17,8.613117218017578,6.277650833129883,-2.3354666233062744,4.621644496917725,-9.292577743530273,13.125717163085938,0.4359077215194702,9.862996101379395,2.692305564880371
3291,3291,0.37,0.4,10.198440551757812,5.5714640617370605,-4.626976013183594,-5.752906322479248,-3.5010452270507812,5.686997413635254,6.774017810821533,4.104331970214844,7.038596153259277
3292,3292,0.58,13.22,9.675505638122559,9.35870361328125,-0.31680190563201904,-3.989365339279175,3.3557615280151367,6.712718486785889,12.067574501037598,7.718470096588135,10.998937606811523
3293,3293,0.32,10.73,8.315780639648438,7.305214881896973,-1.0105655193328857,-6.588323593139648,4.567192554473877,4.223925590515137,10.882879257202148,3.5086443424224854,11.101785659790039
3294,3294,0.6,2.05,9.300457000732422,5.62452507019043,-3.6759324073791504,-1.9444262981414795,-5.407438278198242,7.430668354034424,5.081310272216797,7.213842868804932,4.0352067947387695
3295,3295,0.22,4.75,9.906477928161621,7.168030738830566,-2.7384471893310547,1.03287935256958,-6.5097737312316895,11.461153984069824,3.0679240226745605,8.40312385559082,5.932937145233154
3296,3296,0.55,5.37,8.267793655395508,6.100637435913086,-2.167156457901001,-0.18858927488327026,-4.145723819732666,7.641885757446289,5.106834411621094,7.828511714935303,4.372763633728027
3297,3297,0.58,6.64,9.179520606994629,7.322949409484863,-1.8565709590911865,-5.659908294677734,1.9467662572860718,4.183735370635986,10.81835651397705,5.4993767738342285,9.146522521972656
3298,3298,0.4,0.19,9.154777526855469,3.499018430709839,-5.655759334564209,-1.4626373052597046,-9.848881721496582,7.932071208953857,0.4074940085411072,7.15424919128418,-0.15621253848075867
3299,3299,0.39,12.51,5.921473503112793,5.240076541900635,-0.6813969612121582,-5.6986565589904785,4.335862636566162,2.326993465423584,8.581753730773926,2.2572295665740967,8.222923278808594
3300,3300,0.53,3.62,9.588417053222656,6.307509899139404,-3.2809066772460938,-7.372138977050781,0.8103256821632385,3.1612954139709473,10.352180480957031,3.777301788330078,8.83771800994873
3301,3301,0.33,11.71,10.478766441345215,9.688071250915527,-0.7906954288482666,4.997297286987305,-6.578688144683838,13.38980484008789,5.994501113891602,13.018575668334961,6.357567310333252
3302,3302,0.3,2.2,7.070691108703613,3.0820157527923584,-3.988675117492676,-7.641921520233154,-0.33542874455451965,0.16565082967281342,7.496634483337402,-0.14246176183223724,6.306493282318115
3303,3303,0.34,4.13,5.43553352355957,2.516512870788574,-2.919020652770996,-6.68602180480957,0.8479803204536438,-0.49872034788131714,7.059023380279541,-0.7935614585876465,5.826587200164795
3304,3304,0.37,1.09,6.605405807495117,2.3730247020721436,-4.2323808670043945,-6.3485212326049805,-2.1162407398223877,1.2146661281585693,5.730009078979492,0.3883938789367676,4.3576555252075195
3305,3305,0.46,0.68,8.551470756530762,4.15457820892334,-4.396892547607422,-3.1359305381774902,-5.657855033874512,6.327600955963135,3.8803741931915283,4.830197334289551,3.4789586067199707
3306,3306,0.52,5.96,9.855183601379395,7.630825042724609,-2.2243587970733643,1.8454670906066895,-6.294184684753418,11.071138381958008,4.420769691467285,10.0383939743042,5.2232561111450195
3307,3307,0.46,9.49,11.642221450805664,10.114200592041016,-1.5280208587646484,-8.38633918762207,5.330297470092773,4.839560508728027,15.289238929748535,6.6793036460876465,13.549098014831543
3308,3308,0.4,14.69,9.264126777648926,8.843292236328125,-0.42083466053009033,-4.481071472167969,3.639402151107788,5.430951118469238,11.116090774536133,6.781825542449951,10.904759407043457
3309,3309,0.39,10.94,9.736791610717773,9.097390174865723,-0.6394016742706299,1.5921311378479004,-2.87093448638916,10.139886856079102,7.432938098907471,10.532169342041016,7.66261100769043
3310,3310,0.47,3.36,6.400046348571777,3.6101553440093994,-2.789890766143799,-3.265737533569336,-2.3140439987182617,3.658987283706665,4.103102684020996,3.2672982215881348,3.953012466430664
3311,3311,0.44,7.47,9.707914352416992,8.357357025146484,-1.350557565689087,-2.9718966484069824,0.2707814574241638,7.6578688621521,9.367180824279785,6.99381160736084,9.720901489257812
3312,3312,0.37,13.44,5.546504497528076,4.987429618835449,-0.559074878692627,3.7181262969970703,-4.836276054382324,8.02951431274414,2.018951416015625,7.999285697937012,1.9755738973617554
3313,3313,0.48,11.68,8.345572471618652,7.841303825378418,-0.5042684078216553,-0.7082062363624573,-0.30033063888549805,7.754593372344971,8.033750534057617,7.742271423339844,7.940335750579834
3314,3314,0.43,13.63,8.418050765991211,8.117034912109375,-0.30101537704467773,0.3415668308734894,-0.9435975551605225,8.598844528198242,7.486202716827393,8.588152885437012,7.645917892456055
3315,3315,0.35,6.96,9.831094741821289,8.343755722045898,-1.4873387813568115,-0.14710737764835358,-2.8275701999664307,9.878143310546875,6.9817705154418945,8.58130931854248,8.106202125549316
3316,3316,0.35,4.22,5.530861854553223,1.6548867225646973,-3.8759753704071045,-10.283289909362793,2.531339168548584,-2.664923906326294,9.412579536437988,-4.847550392150879,8.157323837280273
3317,3317,0.35,8.22,6.878935813903809,5.579871654510498,-1.2990642786026,1.6424415111541748,-4.240570068359375,7.936148166656494,3.505030632019043,7.289823532104492,3.869919538497925
3318,3318,0.38,9.53,5.9730224609375,4.919137001037598,-1.0538852214813232,-4.53063440322876,2.4228639602661133,2.6973628997802734,7.546782970428467,2.957383155822754,6.880890846252441
3319,3319,0.2,4.57,6.330318450927734,4.004491806030273,-2.325826644897461,-3.113374710083008,-1.5382784605026245,3.867917537689209,5.182390213012695,3.5768070220947266,4.4321770668029785
3320,3320,0.48,5.63,7.708504676818848,5.462002754211426,-2.246501922607422,1.7008655071258545,-6.193869590759277,9.164289474487305,1.9412856101989746,8.174880981445312,2.749124050140381
3321,3321,0.27,13.45,8.620306015014648,8.35749340057373,-0.26281288266181946,-0.9124840497970581,0.3868582844734192,7.843752861022949,8.90938663482666,8.122507095336914,8.592479705810547
3322,3322,0.24,8.99,9.497098922729492,8.484869003295898,-1.0122299194335938,1.7844221591949463,-3.808881998062134,10.59479808807373,5.527501106262207,9.476219177246094,7.4935197830200195
3323,3323,0.51,0.81,5.239908218383789,-0.18100523948669434,-5.420913219451904,-9.997735977172852,-0.8440908789634705,-2.4237239360809326,7.15620756149292,-5.8771843910217285,5.51517391204834
3324,3324,0.29,11.88,6.3014349937438965,5.750592231750488,-0.5508429408073425,-1.3343932628631592,0.2327074110507965,5.217237949371338,5.989988327026367,5.285987377166748,6.21519660949707
