,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,si_sdr_speaker0,si_sdr_spkeaker1,vad_accuracy,vad_acc_speaker0,vad_acc_speaker1
89,89,0.26,0.79,10.266149520874023,5.199483394622803,-5.0666656494140625,-0.954137921333313,-9.179193496704102,8.623774528503418,1.7751920223236084,0.9591999650001526,0.9391999840736389,0.9791999459266663
90,90,0.59,12.01,7.414046764373779,6.710903644561768,-0.7031431198120117,4.714910507202148,-6.121196746826172,9.637198448181152,3.784608840942383,0.9519999623298645,0.9695999622344971,0.9343999624252319
91,91,0.43,0.15,7.78193473815918,2.761732339859009,-5.02020263671875,-7.3124284744262695,-2.7279772758483887,1.2745803594589233,4.248884201049805,0.8759999871253967,0.8271999955177307,0.9247999787330627
92,92,0.47,6.12,7.071082592010498,5.162234306335449,-1.9088484048843384,0.7150322794914246,-4.532729148864746,6.979312896728516,3.345155954360962,0.962399959564209,0.9727999567985535,0.9519999623298645
93,93,0.6,9.6,11.852389335632324,9.3330078125,-2.519381284713745,7.38989782333374,-12.42866039276123,14.37430477142334,4.291710376739502,0.94159996509552,0.9759999513626099,0.9071999788284302
94,94,0.35,7.24,-1.1841239929199219,-2.434596300125122,-1.2504723072052002,-1.1018847227096558,-1.3990598917007446,-1.5943646430969238,-3.2748279571533203,0.887999951839447,0.8815999627113342,0.8944000005722046
95,95,0.52,5.07,3.5698182582855225,1.3872356414794922,-2.1825826168060303,-4.0429768562316895,-0.32218846678733826,-0.28010281920433044,3.0545740127563477,0.9279999732971191,0.9199999570846558,0.9359999895095825
96,96,0.28,1.08,10.360908508300781,5.746673107147217,-4.6142354011535645,-7.322070121765137,-1.9064009189605713,3.0889463424682617,8.404399871826172,0.9503999948501587,0.9311999678611755,0.9695999622344971
97,97,0.2,8.94,11.074651718139648,8.019935607910156,-3.054715633392334,7.126288414001465,-13.235719680786133,12.707839965820312,3.3320319652557373,0.9527999758720398,0.9583999514579773,0.9472000002861023
98,98,0.26,5.66,8.566160202026367,6.65219783782959,-1.9139618873596191,-0.18106363713741302,-3.646860122680664,7.175879001617432,6.128517150878906,0.9375999569892883,0.9567999839782715,0.91839998960495
99,99,0.44,0.89,4.982137203216553,-0.9481306076049805,-5.930267810821533,-0.20460987091064453,-11.655925750732422,5.031097412109375,-6.927358627319336,0.8903999924659729,0.9487999677658081,0.8319999575614929
100,100,0.26,3.73,8.895576477050781,5.015804290771484,-3.879772186279297,-9.651580810546875,1.8920366764068604,1.2457830905914307,8.785825729370117,0.85999995470047,0.769599974155426,0.9503999948501587
101,101,0.26,10.33,7.750373363494873,6.91808557510376,-0.8322879672050476,1.7210160493850708,-3.385591983795166,8.416744232177734,5.419426918029785,0.9648000001907349,0.9791999459266663,0.9503999948501587
102,102,0.33,1.36,8.11833381652832,4.176547050476074,-3.941786527633667,-3.0836081504821777,-4.799964904785156,4.928066253662109,3.4250283241271973,0.9511999487876892,0.9711999893188477,0.9311999678611755
103,103,0.32,13.29,10.0352144241333,9.070863723754883,-0.964350700378418,8.868139266967773,-10.79684066772461,14.581583023071289,3.5601446628570557,0.972000002861023,0.9839999675750732,0.9599999785423279
104,104,0.43,10.44,10.48669147491455,9.565766334533691,-0.9209253787994385,3.6963229179382324,-5.538173675537109,12.415055274963379,6.716477394104004,0.9807999730110168,0.9791999459266663,0.9824000000953674
105,105,0.4,5.77,10.686483383178711,7.8131914138793945,-2.8732919692993164,-9.03189754486084,3.285313844680786,4.614291667938232,11.012090682983398,0.9479999542236328,0.913599967956543,0.9824000000953674
106,106,0.38,8.44,9.011480331420898,7.915346145629883,-1.0961344242095947,-1.8963085412979126,-0.29596027731895447,6.932775974273682,8.897916793823242,0.9655999541282654,0.9711999893188477,0.9599999785423279
107,107,0.43,14.57,9.78231143951416,9.449769973754883,-0.332541286945343,-1.7609789371490479,1.0958963632583618,8.967167854309082,9.932371139526367,0.9567999839782715,0.9663999676704407,0.9472000002861023
108,108,0.25,7.1,2.6711068153381348,1.3015669584274292,-1.3695399761199951,-2.756395101547241,0.017315248027443886,-0.18082532286643982,2.783959150314331,0.9192000031471252,0.9247999787330627,0.913599967956543
109,109,0.52,8.39,1.1844964027404785,0.004142343997955322,-1.180354118347168,-2.5914931297302246,0.23078489303588867,-1.5777820348739624,1.586066722869873,0.8703999519348145,0.8592000007629395,0.8815999627113342
110,110,0.44,0.5,0.3232431411743164,-4.263411521911621,-4.5866546630859375,-6.015034198760986,-3.1582746505737305,-6.720397472381592,-1.8064250946044922,0.8944000005722046,0.9120000004768372,0.876800000667572
111,111,0.29,3.99,10.171110153198242,7.61111307144165,-2.5599968433380127,-2.8919949531555176,-2.227998733520508,6.123176574707031,9.09904956817627,0.9472000002861023,0.9648000001907349,0.9296000003814697
112,112,0.22,2.19,9.588021278381348,5.9954328536987305,-3.592588424682617,-5.595948696136475,-1.5892283916473389,4.407626628875732,7.58323860168457,0.8831999897956848,0.8560000061988831,0.9103999733924866
113,113,0.38,4.03,2.818777084350586,0.23519787192344666,-2.5835793018341064,-1.995986819267273,-3.1711719036102295,0.974733829498291,-0.5043380856513977,0.823199987411499,0.8015999794006348,0.8447999954223633
114,114,0.34,9.94,10.321417808532715,9.515435218811035,-0.8059824109077454,-3.35028076171875,1.7383159399032593,8.998873710632324,10.031996726989746,0.9519999623298645,0.913599967956543,0.990399956703186
115,115,0.48,12.66,9.719644546508789,9.077213287353516,-0.6424309015274048,-5.215630531311035,3.9307687282562256,6.949857711791992,11.204568862915039,0.9544000029563904,0.9440000057220459,0.9648000001907349
116,116,0.59,10.0,1.0663387775421143,0.25627100467681885,-0.8100678324699402,-3.3928098678588867,1.7726742029190063,-2.3124725818634033,2.825014591217041,0.9648000001907349,0.9695999622344971,0.9599999785423279
117,117,0.43,6.04,10.160325050354004,8.242231369018555,-1.9180939197540283,-4.673476696014404,0.8372887969017029,7.46701717376709,9.017444610595703,0.9551999568939209,0.9519999623298645,0.9583999514579773
118,118,0.27,5.11,4.447903156280518,2.116241455078125,-2.3316617012023926,-5.499497413635254,0.8361738920211792,-1.1271864175796509,5.359669208526611,0.9287999868392944,0.892799973487854,0.9648000001907349
119,119,0.59,2.7,5.917577266693115,2.7312493324279785,-3.1863279342651367,-3.6264867782592773,-2.746169328689575,2.723428726196289,2.739069700241089,0.9159999489784241,0.913599967956543,0.91839998960495
120,120,0.56,8.08,7.508187294006348,5.573436737060547,-1.9347503185272217,4.832464694976807,-8.70196533203125,10.140266418457031,1.006606936454773,0.9551999568939209,0.9919999837875366,0.91839998960495
121,121,0.26,7.94,7.081432342529297,5.792130947113037,-1.2893016338348389,0.6257116794586182,-3.204314947128296,6.9343976974487305,4.649864196777344,0.9551999568939209,0.9359999895095825,0.974399983882904
122,122,0.22,6.04,3.3742146492004395,1.6235564947128296,-1.7506582736968994,-2.742011547088623,-0.7593051195144653,0.8392488956451416,2.4078640937805176,0.8560000061988831,0.8479999899864197,0.8639999628067017
123,123,0.59,6.69,6.40083122253418,4.719188213348389,-1.6816432476043701,0.007289063651114702,-3.3705756664276123,5.553199768066406,3.885176420211792,0.9447999596595764,0.9727999567985535,0.9167999625205994
124,124,0.29,10.69,10.474617004394531,9.688394546508789,-0.7862228155136108,-4.311689376831055,2.739243745803833,7.723327159881592,11.653462409973145,0.9479999542236328,0.91839998960495,0.9775999784469604
